gml_id,OSM_ID,BEERS,BREWER,NAME,TYPE
OpenBeerMap_IDF.1126088147,1126088147,(1:Akerbeltz_ambrée),Non,L'Express,pub
OpenBeerMap_IDF.1140477414,1140477414,"(2:Leffe,Leffe ruby)",Non,Ty jos,pub
OpenBeerMap_IDF.1224795728,1224795728,(1:Guinness),Non,Patrick’s Ballon Vert,pub
OpenBeerMap_IDF.1305927682,1305927682,"(9:Chouffe,Desperados,Guinness,Heineken,Hoegarden blanche,Leffe,...)",Non,Osmoz Café,pub
OpenBeerMap_IDF.1307259134,1307259134,"(4:,Hoegaarden,Leffe,Stella artois)",Non,Bastille bar,bar
OpenBeerMap_IDF.1412584442,1412584442,(1:Guinness),Non,O'Paris,pub
OpenBeerMap_IDF.1465462980,1465462980,"(5:Affligem,Amstel,Edelweiss,Fisher ambrée,Heineken)",Oui,French Beer Factory,pub
OpenBeerMap_IDF.148631œ3953,1486313953,(1:Guinness),Non,Corcoran's,pub
OpenBeerMap_IDF.1486313987,1486313987,"(7:Carlsberg,Chouffe,Guinness,Heineken,La bête,Leffe,Warsteiner)",Non,James Hetfeeld's Pub,pub
OpenBeerMap_IDF.1509993140,1509993140,(1:1664),Non,Le Querey,bar
OpenBeerMap_IDF.1598071236,1598071236,"(2:Chouffe,Tripel_karmeliet)",Non,Au Métro,bar
OpenBeerMap_IDF.1670401972,1670401972,(1:Affligem),Non,La patache,bar
OpenBeerMap_IDF.1684658935,1684658935,"(4:Chouffe,Guinness,Kronenbourg,Tripel karmeliet)",Non,Le Requin Chagrin,bar
OpenBeerMap_IDF.1685494665,1685494665,"(4:Affligem,Desperados,Edelweiss,Heineken)",Non,MKP Opéra,bar
OpenBeerMap_IDF.1692228845,1692228845,(1:Leffe),Non,Le Maryland,bar
OpenBeerMap_IDF.1744841764,1744841764,"(3:Chimay,Chouffe,Tripel_karmeliet)",Non,Le Chablis,bar
OpenBeerMap_IDF.1778519709,1778519709,(1:Leffe),Non,Les Caves Alliées,pub
OpenBeerMap_IDF.1786108265,1786108265,(1:Jenlain),Non,Le coupole d'argent,bar
OpenBeerMap_IDF.1800349948,1800349948,"(5:Chimay,Chouffe,Guinness,Leffe,Tripel_karmeliet)",Non,Chez Michel,pub
OpenBeerMap_IDF.1813684597,1813684597,(1:Affligem),Non,Les Arènes,pub
OpenBeerMap_IDF.1824374964,1824374964,"(4:Carlsberg,Grimbergen,Guinness,Kronenbourg)",Non,Le Dernier Bar Avant la Fin du Monde,pub
OpenBeerMap_IDF.1830661957,1830661957,(1:Deuchars),Non,La Fine Mousse,bar
OpenBeerMap_IDF.1835765099,1835765099,"(6:1664,Elephant,Grimbergen,Grimbergen_blanche,Grimbergen_fruits_rouges,...)",Non,Dupont Versailles,bar
OpenBeerMap_IDF.1838552620,1838552620,"(2:Brooklyn lager,Chouffe)",Non,La lucha libre,bar
OpenBeerMap_IDF.1869060190,1869060190,(1:Chouffe),Non,L'Alibi,bar
OpenBeerMap_IDF.1905655546,1905655546,"(2:Guinness,Stella artois)",Non,Shywawa,pub
OpenBeerMap_IDF.2011451022,2011451022,(1:3 monts),Non,Café du Lac,pub
OpenBeerMap_IDF.2072607634,2072607634,"(3:Grolsch,Guinness,St. stefanus)",Non,Le chinois,bar
OpenBeerMap_IDF.2081656009,2081656009,"(3:Asahi,Guinness,Kilkenny)",Non,The Cork and Cavan,pub
OpenBeerMap_IDF.2086399144,2086399144,"(13:Blanche de bruxelles,Carlsberg,Carolus d'or,Chouffe,Cuvée des trolls,...)",Non,Le Falstaff,pub
OpenBeerMap_IDF.2149899597,2149899597,(1:Yes),Non,L'Europe,bar
OpenBeerMap_IDF.2293740288,2293740288,(1:Blondinette),Non,Le Bistrot des Artistes,pub
OpenBeerMap_IDF.2298160176,2298160176,(1:Guinness),Non,Finnegan's Wake,pub
OpenBeerMap_IDF.2355778353,2355778353,"(4:Grimbergen,Guinness,Heineken,Kronenbourg)",Non,L'antidote,pub
OpenBeerMap_IDF.2367321705,2367321705,"(2:Guinness,Smithwick's)",Non,Pop In,bar
OpenBeerMap_IDF.2394065566,2394065566,(1:Chouffe),Non,Hall's Beer Tavern,pub
OpenBeerMap_IDF.2394065575,2394065575,"(2:Carlsberg,Guinness)",Non,Mc Brides,pub
OpenBeerMap_IDF.2417976078,2417976078,"(3:Blanche de namur,Delirium tremens,Konigsbächer)",Non,Ze Bar,bar
OpenBeerMap_IDF.2445512536,2445512536,(1:Stella),Non,Café de la Jeunesse,bar
