insee,libelle1,libelle2,voie_num,voie_type,voie_nom,local,voie,CPBIBLIO,CEDEXB,BP,ville,DEPT,REGION,population_legale
01004,Médiathèque Municipale,La Grenette,10,rue,Amédée Bonnet,,10 rue Amédée Bonnet,01500,,,Ambérieu-en-Bugey,01,82,14347
01005,Bibliotheque Municipale D'amberieux En Dombes,,2,route,du Gouverneur,,2 route du Gouverneur,01330,,,Ambérieux-en-Dombes,01,82,1620
01007,Bibliotheque Muncipale,,2,RUE,DES RUETTES,,RUE DES RUETTES,01500,,,Ambronay,01,82,2484
01008,Bibliotheque D'ambutrix,,9,ROUTE,DE TERNANT,,9 ROUTE DE TERNANT,01500,,,Ambutrix,01,82,752
01010,Bibliotheque Municipale,,,RUE,DES ECOLES,,RUE DES ECOLES,01350,,,Anglefort,01,82,1046
01012,bibliothèque municipale,,,Place,de la Mairie,Mairie,,01110,,,Aranc,01,82,314
01014,Bibliotèque D'arbent,Centre social et culturel d'Arbent,1400,Avenue,Général Andrea,,1400 Avenue Général Andrea,01100,,,Arbent,01,82,3585
01017,Bibliotheque Municipale,,,RUE,DE L'USINE,,RUE DE L'USINE,01230,,,Argis,01,82,429
01021,Bibliothèque Municipale,,,RUE,JEAN-MARIE VIANNEY,,363 RUE JEAN-MARIE VIANNEY,01480,,,Ars-sur-Formans,01,82,1398
01022,Bibliothèque Municipale D'artemare,,19,rue,de la Croix Rousse,Résidence d'Yon,19 rue de la Croix Rousse,01510,,,Artemare,01,82,1180
01024,Bibliiotheque Municipale D'attignat,,317,RUE,DE L'EGLISE,,317 RUE DE L'EGLISE,01340,,,Attignat,01,82,3071
01025,Médiathèque municipale,Le trait d'union,48,PLACE,DU VILLAGE,,48 PLACE DU VILLAGE,01380,,,Bâgé-la-Ville,01,82,3210
01026,Bibliotheque Municipale,,20,RUE,CONDAMNALE,,20 rue Condamnale,01380,,,Bâgé-le-Châtel,01,82,861
01027,Bibliothèque Municipale,,1,,Place de la Mairie,,1   Place de la Mairie,01360,,,Balan,01,82,2600
01029,Bibliothèque Beaupont Domsure,,220,rue principale,,Le bourg,200 RUE PRINCIPALE,01270,,,Beaupont,01,82,655
01030,Bibliothèque Municipale,,120,Rue,Jules Ferry,,Rue Jules Ferry,01480,,,Beauregard,01,82,883
01032,Bibliotheque Communale,,2343,ROUTE,DAUPHINE,,2343 ROUTE DAUPHINE,01360,,,Béligneux,01,82,3118
01033,Mediatheque Louis Miraillet,,8,,PLACE CHARLES DE GAULLE,PASSERELLE DES ARTS,PLACE CHARLES DE GAULLE,01202,,,Bellegarde-sur-Valserine,01,82,11990
01034,Médiathèque Municipale,,,RUE,DES CORDELIERS,PALAIS EPISCOPAL,RUE DES CORDELIERS,01300,,,Belley,01,82,9177
01036,Les Amis De La bibliothèque De Belmont- Luthézieu,,,,,Mairie,,01260,,,Belmont-Luthézieu,01,82,542
01038,Bibliothèque Municipale,,,,,Mairie. Le bourg,,01370,,,Bény,01,82,734
01040,Bibliotheque De Bereziat,,,,,LE BOURG,,01340,,,Béréziat,01,82,456
01043,Bibliotheque De Beynost,,355,CHEMIN,DU MONDEROUX,VILLA MONDEROUX,355 CHEMIN DU MONDEROUX,01700,,,Beynost,01,82,4566
01046,Bibliotheque Avenir De Biziat,,,,,71 Route des Rutets,,01290,,,Biziat,01,82,821
01047,Bibliotheque Municipale,,,,,LE PRIEURE,,01150,,,Blyes,01,82,921
01049,Bibliotheque Communale,,358,RUE,JOSEPH GUINET,,358 RUE JOSEPH GUINET,01120,,,La Boisse,01,82,2964
01053,Mediatheque E. & R. Vailland,,1,RUE DU MOULIN,DE BROU,,1 RUE DU MOULIN DE BROU,01000,,,Bourg-en-Bresse,01,82,41896
01054,Bibliotheque Municipale,,,Place,de la Mairie,Place de la Mairie,Place de la Mairie,01800,,,Bourg-Saint-Christophe,01,82,1246
01057,Bibliotheque Municipale,rue de la Gare,,place,de la Mairie,MAIRIE,,01190,,,Boz,01,82,501
01058,Mediatheque Municipale de Bregnier-Cordon,Cité Intercommunale de l'Enfant,,PLACE,DES SPORTS,,PLACE DES SPORTS,01300,,,Brégnier-Cordon,01,82,886
01060,Espace Livres Brenod,,,rue,principale,MAIRIE DE BRENOD,,01110,,,Brénod,01,82,560
01061,Bibliotheque,,454,RUE,DU CENTRE,MAIRIE,454 RUE DU CENTRE,01300,,,Brens,01,82,1219
01063,Bibliohèque Municipale,,,rue,du château,Mairie,rue du château,01460,,,Brion,01,82,530
01065,Bibliotheque Municipale De Buellas,,,,,MAIRIE,10 rue de la mairie,01310,,,Buellas,01,82,1764
01068,Bibliotheque Municipale,,,,PLACE DE LA MAIRIE,,0 0 PLACE DE LA MAIRIE,01450,,,Cerdon,01,82,754
01069,Bibliotheque Municipale,,73,ALLEE,DU RIPPY,,73 Chemin du Rippy,01240,,,Certines,01,82,1489
01071,Bibliothèque Municipale De Cessy,,450,Rue,de la mairie,,450 Rue de la mairie,01170,,,Cessy,01,82,4305
01072,Bibliotheque Municipale,,,PLACE,JEAN MOULIN,HOTEL DE VILLE,PLACE JEAN MOULIN,01250,,,Ceyzériat,01,82,2917
01074,Bibliotheque Municipale,,,RUE DES FOSSES,,,RUE DES FOSSES,01320,,,Chalamont,01,82,2403
