idZone,nameZone,idQuartier,piece,epoque,type,annee,ref,refmin,refmaj
6,Notre-Dame-des-Champs,23,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
7,Saint-Thomas-d'Aquin,25,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
7,Invalides,26,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
7,Ecole-Militaire,27,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
7,Gros-Caillou,28,1 pièce,avant 1946,Non meublée,2015,31.3,21.9,37.6
1,St-Germain-l'Auxerrois,1,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
1,Palais-Royal,3,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
1,Place-Vendôme,4,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
2,Gaillon,5,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
4,Saint-Merri,13,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
4,Arsenal,15,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
4,Notre-Dame,16,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
6,Monnaie,21,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
6,Odeon,22,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
6,Saint-Germain-des-Près,24,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
8,Champs-Elysés,29,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
8,Faubourg-du-Roule,30,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
8,Madeleine,31,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
8,Chaussée d'Antin,34,1 pièce,avant 1946,Non meublée,2015,30.3,21.2,36.4
8,Europe,32,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
16,Muette,62,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
16,Porte-Dauphine,63,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
16,Chaillot,64,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
2,Vivienne,6,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Mail,7,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
2,Bonne-Nouvelle,8,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
3,Arts-et-Metiers,9,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
3,Enfants-Rouges,10,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
3,Archives,11,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Sainte-Avoie,12,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Saint-Gervais,14,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
5,Saint-Victor,17,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
5,Val-de-Grace,19,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
5,Sorbonne,20,1 pièce,avant 1946,Non meublée,2015,27.8,19.5,33.4
4,Halles,2,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
9,Saint-Georges,33,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
9,Faubourg-Montmartre,35,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
9,Rochechouart,36,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
10,Saint-Vincent-de-Paul,37,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
10,Porte-Saint-Denis,38,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
5,Croulebarbe,52,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
14,Montparnasse,53,1 pièce,avant 1946,Non meublée,2015,28.7,20.1,34.4
15,Necker,58,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
17,Ternes,65,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
16,Plaine de Monceau,66,1 pièce,avant 1946,Non meublée,2015,26.7,18.7,32.0
15,Grenelle,59,1 pièce,avant 1946,Non meublée,2015,26.4,18.5,31.7
15,Javel,60,1 pièce,avant 1946,Non meublée,2015,26.4,18.5,31.7
16,Auteuil,61,1 pièce,avant 1946,Non meublée,2015,26.4,18.5,31.7
15,Saint-Lambert,57,1 pièce,avant 1946,Non meublée,2015,25.9,18.1,31.1
12,Picpus,46,1 pièce,avant 1946,Non meublée,2015,25.2,17.6,30.2
