Mairie gestionnaire;Type d'équipement;Désignation_longue;AP_num;AP_cnu;AP_cp;Ap_voie
MAIRIE DU 17E;Promenade ouverte, mail planté, jardin, square;SQUARE DE LA VILLA SAINTE-CROIX;10;;75017;VILLA SAINTE-CROIX
MAIRIE DU 17E;Promenade ouverte, mail planté, jardin, square;SQUARE DU 12 RUE HELENE;12;;75017;RUE HELENE
MAIRIE DU 17E;Promenade ouverte, mail planté, jardin, square;JARDIN RUE DU COLONEL MANHES;12;;75017;RUE DU COLONEL MANHES
MAIRIE DU 17E;Jardinet décoratif, plate-bande;JARDINET DE LA MAIRIE DU XVIIEME;16;;75017;RUE DES BATIGNOLLES
MAIRIE DU 17E;Jardinet décoratif, plate-bande;JARDINET DU PARC DE STATIONNEMENT POUR AUTOCARS BD PERSHING;18;;75017;BOULEVARD PERSHING
MAIRIE DU 17E;Crèche collective;CRÈCHE COLLECTIVE 1-3,  BOULEVARD DU BOIS LE PRÊTRE;1;;75017;BOULEVARD DU BOIS LE PRETRE
MAIRIE DU 17E;Crèche collective;CRÈCHE COLLECTIVE 51, RUE BERZÉLIUS;51;;75017;RUE BERZELIUS
MAIRIE DU 17E;Crèche collective;CRÈCHE COLLECTIVE 9, VILLA SAINTE CROIX;9;;75017;VILLA SAINTE-CROIX
MAIRIE DU 17E;Crèche collective;MINI CRÈCHE 158, RUE LEGENDRE;158;;75017;RUE LEGENDRE
MAIRIE DU 17E;Halte-garderie;HALTE-GARDERIE 59, RUE BERZÉLIUS;59;;75017;RUE BERZELIUS
MAIRIE DU 17E;Crèche familiale;CRÈCHE FAMILIALE 16, AVENUE BRUNETIÈRE;16;;75017;AVENUE BRUNETIERE
MAIRIE DU 17E;Terrain de tennis;TENNIS AURELLE DE PALADINES;17;;75017;BOULEVARD D' AURELLE DE PALADINES
MAIRIE DU 17E;Stade;STADE PAUL FABER;17;;75017;AVENUE DE LA PORTE DE VILLIERS
MAIRIE DU 17E;Gymnase;GYMNASE JEAN LECLAIRE;24;;75017;RUE JEAN LECLAIRE
MAIRIE DU 17E;Salles de sports;SALLES DE SPORT REIMS;32;;75017;BOULEVARD DE REIMS
MAIRIE DU 18E;Médiathèque;BIBLIOTHEQUE-DISCOTHEQUE-VIDEOTHEQUE MUNICIPALE DE CLIGNANCOURT;29;;75018;RUE HERMEL
MAIRIE DU 18E;Conservatoire;CONSERVATOIRE MUNICIPAL GUSTAVE CHARPENTIER;29;;75018;RUE BAUDELIQUE
MAIRIE DU 18E;Ecole maternelle & annexes;ECOLE MATERNELLE 1 RUE PAUL ABADIE;1;;75018;RUE PAUL ABADIE
MAIRIE DU 18E;Ecole maternelle & annexes;ECOLE MATERNELLE 11 RUE ANDRE DEL SARTE;11;;75018;RUE ANDRE DEL SARTE
MAIRIE DU 18E;Ecole maternelle & annexes;ECOLE MATERNELLE 3 RUE SAINT-LUC;3;;75018;RUE SAINT-LUC
MAIRIE DU 18E;Ecole maternelle & annexes;ECOLE MATERNELLE 4 PL JEAN-BAPTISTE CLEMENT;4;;75018;PLACE JEAN-BAPTISTE CLEMENT
MAIRIE DU 18E;Ecole maternelle & annexes;ECOLE MATERNELLE 41 RUE CLOYS;41;;75018;RUE DES CLOYS
MAIRIE DU 18E;Ecole maternelle & annexes;ECOLE MATERNELLE 56 RUE ORSEL;56;;75018;RUE D' ORSEL
MAIRIE DU 18E;Ecole maternelle & annexes;ECOLE MATERNELLE 77 RUE MONT CENIS;77;;75018;RUE DU MONT CENIS
MAIRIE DU 18E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 4 RUE CHARLES HERMITE;4;;75018;RUE CHARLES HERMITE
MAIRIE DU 18E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 5 RUE FERDINAND FLOCON;5;;75018;RUE FERDINAND FLOCON
MAIRIE DU 18E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 62 RUE LEPIC;62;;75018;RUE LEPIC
MAIRIE DU 18E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 7 RUE CHAMPIONNET;7;;75018;RUE CHAMPIONNET
MAIRIE DU 18E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 9 RUE RICHOMME;9;;75018;RUE RICHOMME
MAIRIE DU 18E;Terrain de boules;TERRAIN DE BOULES AVENUE JUNOT;17;;75018;AVENUE JUNOT
MAIRIE DU 18E;Promenade ouverte, mail planté, jardin, square;SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT;36;;75018;SQUARE DE CLIGNANCOURT
MAIRIE DU 18E;Promenade ouverte, mail planté, jardin, square;SQUARE DES DEUX NETHES;24;;75018;AVENUE DE CLICHY
MAIRIE DU 18E;Promenade ouverte, mail planté, jardin, square;SQUARE JEHAN RICTUS;1;;75018;RUE LA VIEUVILLE
MAIRIE DU 18E;Promenade ouverte, mail planté, jardin, square;SQUARE LOUISE DE MARILLAC;1;;75018;PLACE DE LA CHAPELLE
MAIRIE DU 18E;Promenade ouverte, mail planté, jardin, square;SQUARE RAYMOND QUENEAU;22;;75018;RUE RAYMOND QUENEAU
MAIRIE DU 18E;Promenade ouverte, mail planté, jardin, square;SQUARE SAINTE-HELENE;41;;75018;RUE LETORT
MAIRIE DU 18E;Promenade ouverte, mail planté, jardin, square;SQUARE DE LA RUE DE JESSAINT;16;;75018;RUE DE JESSAINT
MAIRIE DU 18E;Jardinet décoratif, plate-bande;JARDINET DE LA VILLA DES TULIPES;103;;75018;RUE DU RUISSEAU
MAIRIE DU 18E;Terre-plein, jardinière;SQUARE ROLAND DORGELES;25;;75018;RUE DES SAULES
MAIRIE DU 18E;Terre-plein, jardinière;JARDINIERE DE LA RUE RICHOMME;23;;75018;RUE RICHOMME
MAIRIE DU 18E;Terre-plein, jardinière;DECORATION DE L'HOPITAL BICHAT;2;V;75017;AVENUE DE LA PORTE DE SAINT-OUEN
MAIRIE DU 18E;Terre-plein, jardinière;JARDINIERES DE LA RUE DE L'ABBE PATUREAU;10;;75018;RUE DE L' ABBE PATUREAU
MAIRIE DU 18E;Terre-plein, jardinière;JARDINIERE DE LA RUE ANDRE GILL;8;;75018;RUE ANDRE GILL
MAIRIE DU 18E;Terre-plein, jardinière;JARDINIERE DE LA RUE DU CHEVALIER DE LA BARRE;2;B;75018;RUE DU CHEVALIER DE LA BARRE
MAIRIE DU 18E;Terre-plein, jardinière;JARDINIERES DE LA RUE DU MONT CENIS;35;;75018;RUE DU MONT CENIS
MAIRIE DU 18E;Crèche collective;CRÈCHE COLLECTIVE 126-130, RUE MARCADET;126;;75018;RUE MARCADET
MAIRIE DU 18E;Crèche collective;CRÈCHE COLLECTIVE 16, RUE DE L'ABREUVOIR;16;;75018;RUE DE L' ABREUVOIR
MAIRIE DU 18E;Crèche collective;CRÈCHE COLLECTIVE 3, RUE LA VIEUVILLE/PLACE DES ABBESSES;3;;75018;RUE LA VIEUVILLE
MAIRIE DU 18E;Crèche collective;CRÈCHE COLLECTIVE 16, AVENUE PORTE DES POISSONNIERS;16;;75018;AVENUE DE LA PORTE DES POISSONNIERS
MAIRIE DU 18E;Crèche collective;CRÈCHE COLLECTIVE 54, RUE DES POISSONNIERS - 15, RUE PIERRE BUDIN;54;;75018;RUE DES POISSONNIERS
MAIRIE DU 18E;Halte-garderie;HALTE-GARDERIE 9, RUE DE LA GUADELOUPE - ART 30;9;;75018;RUE DE LA GUADELOUPE
MAIRIE DU 18E;Equipements multi-accueil;ANTENNE DE CRÈCHE FAMILIALE 44, RUE LÉON;44;;75018;RUE LEON
MAIRIE DU 18E;Jardin d'enfants OPAC;JARDIN D'ENFANTS OPAC 15, RUE CAMILLE FLAMMARION;15;;75018;RUE CAMILLE FLAMMARION
MAIRIE DU 18E;Jardin d'enfants OPAC;JARDIN D'ENFANTS OPAC 251, RUE MARCADET;251;;75018;RUE MARCADET
MAIRIE DU 18E;Terrain d'éducation physique;TEP EVANGILE;;;;RUE TCHAIKOVSKI
MAIRIE DU 18E;Gymnase;GYMNASE DES AMIRAUX;12;;75018;RUE DES AMIRAUX
MAIRIE DU 18E;Piscine;PISCINE DES AMIRAUX;6;;75018;RUE HERMANN-LACHAPELLE
MAIRIE DU 18E;Centre d'animation;CENTRE D'ANIMATION HEBERT;12;;75018;RUE DES FILLETTES
MAIRIE DU 18E;Centre d'animation;CENTRE D'ANIMATION LA CHAPELLE;32;;75018;BOULEVARD DE LA CHAPELLE
MAIRIE DU 18E;Centre d'animation;CENTRE D'ANIMATION RENE BINET;66;;75018;RUE RENE BINET
MAIRIE DU 18E;Bain-douche;BAINS-DOUCHES DES AMIRAUX;6;;75018;RUE HERMANN-LACHAPELLE
MAIRIE DU 19E;Bibliothèque;BIBLIOTHEQUE MUNICIPALE CRIMEE;42;;75019;RUE PETIT
MAIRIE DU 19E;Médiathèque;BIBLIOTHEQUE-DISCOTHEQUE MUNICIPALE DE LA PLACE DES FETES;18;;75019;RUE JANSSEN
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 345 RUE DE BELLEVILLE;345;;75019;RUE DE BELLEVILLE
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 11 RUE GEORGES THILL;11;;75019;RUE GEORGES THILL
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 15 RUE TANGER;15;;75019;RUE DE TANGER
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 41 RUE TANGER;41;;75019;RUE DE TANGER
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 47 RUE ARMAND CARREL;47;;75019;RUE ARMAND CARREL
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE EUGENIE COTTON;20;;75019;RUE EUGENIE COTTON
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 5 RUE NOYER-DURAND;5;;75019;RUE DU NOYER-DURAND
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 5 RUE RAMPAL;5;;75019;RUE RAMPAL
MAIRIE DU 19E;Ecole maternelle & annexes;ECOLE MATERNELLE 53 ALL DARIUS MILHAUD;53;;75019;ALLÉE DARIUS MILHAUD
MAIRIE DU 19E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 4 RUE GOUBET;4;;75019;RUE GOUBET
MAIRIE DU 19E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE A 105 BIS RUE OURCQ;105;B;75019;RUE DE L' OURCQ
MAIRIE DU 19E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE A 119 AV SIMON BOLIVAR;119;;75019;AVENUE SIMON BOLIVAR
MAIRIE DU 19E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE A 57 RUE ROMAINVILLE;57;;75019;RUE DE ROMAINVILLE
MAIRIE DU 19E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE A 7 RUE BARBANEGRE;7;;75019;RUE BARBANEGRE
MAIRIE DU 19E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE B 7 RUE GENERAL BRUNET;7;;75019;RUE DU GENERAL BRUNET
